vendor,product,datum
apple,mac_os_x,1997-08-01
apple,mac_os_x,1999-06-03
apple,mac_os_x,2001-12-06
apple,mac_os_x,2001-12-06
apple,mac_os_x,2001-12-06
apple,mac_os_x,2001-12-06
apple,mac_os_x,2001-12-06
apple,mac_os_x,2001-12-06
apple,mac_os_x,2001-12-06
apple,mac_os_x,2003-11-17
apple,mac_os_x,2003-11-17
apple,mac_os_x,2001-09-11
apple,mac_os_x,2001-09-11
apple,mac_os_x,2001-09-11
apple,mac_os_x,2001-09-11
apple,mac_os_x,2001-09-11
apple,mac_os_x,2001-10-17
apple,mac_os_x,2001-10-17
apple,mac_os_x,2001-10-17
apple,mac_os_x,2001-10-17
apple,mac_os_x,2001-10-17
apple,mac_os_x,2001-10-17
apple,mac_os_x,2001-12-31
apple,mac_os_x,2001-12-31
apple,mac_os_x,2001-12-31
apple,mac_os_x,2001-12-31
apple,mac_os_x,2001-12-31
apple,mac_os_x,2001-12-31
apple,mac_os_x,2001-12-31
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-08-12
apple,mac_os_x,2002-11-04
apple,mac_os_x,2002-07-11
apple,mac_os_x,2002-07-11
apple,mac_os_x,2002-07-11
apple,mac_os_x,2002-07-11
apple,mac_os_x,2002-07-11
apple,mac_os_x,2002-07-11
apple,mac_os_x,2002-11-12
apple,mac_os_x,2002-11-12
apple,mac_os_x,2002-11-12
apple,mac_os_x,2002-11-12
apple,mac_os_x,2002-11-12
apple,mac_os_x,2002-11-12
apple,mac_os_x,2002-11-12
apple,mac_os_x,2002-11-12
apple,mac_os_x,2002-11-12
apple,mac_os_x,2002-11-12
apple,mac_os_x,2002-11-12
apple,mac_os_x,2002-11-12
apple,mac_os_x,2002-11-12
apple,mac_os_x,2002-12-11
apple,mac_os_x,2002-12-11
apple,mac_os_x,2002-12-11
apple,mac_os_x,2002-12-11
apple,mac_os_x,2002-12-11
apple,mac_os_x,2002-12-26
apple,mac_os_x,2002-12-26
apple,mac_os_x,2002-12-26
apple,mac_os_x,2002-12-26
apple,mac_os_x,2002-12-26
apple,mac_os_x,2002-12-26
apple,mac_os_x,2002-12-26
apple,mac_os_x,2002-12-26
apple,mac_os_x,2002-12-26
apple,mac_os_x,2002-12-26
apple,mac_os_x,2002-12-26
apple,mac_os_x,2002-12-26
apple,mac_os_x,2002-12-26
apple,mac_os_x,2002-12-26
apple,mac_os_x,2002-12-31
apple,mac_os_x,2002-12-31
apple,mac_os_x,2002-12-31
apple,mac_os_x,2002-12-31
apple,mac_os_x,2002-12-31
apple,mac_os_x,2002-12-31
apple,mac_os_x,2002-12-31
apple,mac_os_x,2002-12-31
apple,mac_os_x,2002-12-31
apple,mac_os_x,2002-12-31
apple,mac_os_x,2002-12-31
apple,mac_os_x,2002-12-31
apple,mac_os_x,2003-03-03
apple,mac_os_x,2003-03-03
apple,mac_os_x,2003-03-03
apple,mac_os_x,2003-03-03
apple,mac_os_x,2003-03-03
apple,mac_os_x,2003-03-03
apple,mac_os_x,2003-03-03
apple,mac_os_x,2003-03-03
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-05-05
apple,mac_os_x,2003-06-16
apple,mac_os_x,2003-08-27
apple,mac_os_x,2003-08-18
apple,mac_os_x,2003-08-18
apple,mac_os_x,2003-08-18
apple,mac_os_x,2003-08-18
apple,mac_os_x,2003-08-18
apple,mac_os_x,2003-08-18
apple,mac_os_x,2003-08-18
apple,mac_os_x,2003-10-06
apple,mac_os_x,2003-10-06
apple,mac_os_x,2003-10-06
apple,mac_os_x,2003-10-06
apple,mac_os_x,2003-10-06
apple,mac_os_x,2003-10-06
apple,mac_os_x,2003-10-06
apple,mac_os_x,2003-10-06
apple,mac_os_x,2003-10-06
apple,mac_os_x,2003-10-06
apple,mac_os_x,2003-10-06
apple,mac_os_x,2003-10-06
apple,mac_os_x,2003-10-06
apple,mac_os_x,2003-10-06
apple,mac_os_x,2003-11-17
apple,mac_os_x,2003-11-17
apple,mac_os_x,2003-11-17
apple,mac_os_x,2003-11-17
apple,mac_os_x,2003-11-17
apple,mac_os_x,2003-11-17
apple,mac_os_x,2003-11-17
apple,mac_os_x,2003-11-17
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-11-03
apple,mac_os_x,2003-12-01
apple,mac_os_x,2003-12-15
apple,mac_os_x,2003-12-15
apple,mac_os_x,2003-12-31
apple,mac_os_x,2003-12-31
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-03-29
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-03-03
apple,mac_os_x,2004-03-03
apple,mac_os_x,2004-03-03
apple,mac_os_x,2004-03-03
apple,mac_os_x,2004-03-03
apple,mac_os_x,2004-03-03
apple,mac_os_x,2004-03-03
apple,mac_os_x,2004-03-03
apple,mac_os_x,2004-12-31
apple,mac_os_x,2004-12-31
apple,mac_os_x,2004-12-31
apple,mac_os_x,2004-12-31
apple,mac_os_x,2004-12-31
apple,mac_os_x,2004-12-31
apple,mac_os_x,2004-12-31
apple,mac_os_x,2004-12-31
apple,mac_os_x,2004-12-31
apple,mac_os_x,2004-12-31
apple,mac_os_x,2004-12-31
apple,mac_os_x,2004-12-31
apple,mac_os_x,2004-12-31
apple,mac_os_x,2004-03-03
apple,mac_os_x,2004-03-03
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-03-15
apple,mac_os_x,2004-05-04
apple,mac_os_x,2004-05-04
apple,mac_os_x,2004-05-04
apple,mac_os_x,2004-05-04
apple,mac_os_x,2004-05-03
apple,mac_os_x,2004-05-03
apple,mac_os_x,2004-05-03
apple,mac_os_x,2004-05-03
apple,mac_os_x,2004-05-03
apple,mac_os_x,2004-05-03
apple,mac_os_x,2004-05-03
apple,mac_os_x,2004-05-03
apple,mac_os_x,2004-05-03
apple,mac_os_x,2004-05-03
apple,mac_os_x,2004-05-03
apple,mac_os_x,2004-05-03
apple,mac_os_x,2004-05-03
apple,mac_os_x,2004-12-31
apple,mac_os_x,2004-12-31
apple,mac_os_x,2004-07-07
apple,mac_os_x,2004-07-07
apple,mac_os_x,2004-07-07
apple,mac_os_x,2004-07-07
apple,mac_os_x,2004-07-07
apple,mac_os_x,2004-07-07
apple,mac_os_x,2004-07-07
apple,mac_os_x,2004-07-07
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-18
apple,mac_os_x,2004-08-06
apple,mac_os_x,2004-08-06
apple,mac_os_x,2004-08-06
apple,mac_os_x,2004-08-06
apple,mac_os_x,2004-12-06
apple,mac_os_x,2004-12-06
apple,mac_os_x,2004-12-06
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-11-23
apple,mac_os_x,2004-12-23
