vendor,product,datum
microsoft,windows-nt,2002-12-31
microsoft,windows-nt,2006-02-14
microsoft,windows-nt,2006-02-14
microsoft,windows-nt,2006-02-14
microsoft,windows-nt,2006-02-14
microsoft,windows-nt,2007-09-27
microsoft,windows-nt,2007-09-27
microsoft,windows-nt,2007-09-27
microsoft,windows-nt,2007-10-01
microsoft,windows-nt,2008-09-11
microsoft,windows-nt,2008-09-11
microsoft,windows-nt,2008-04-08
microsoft,windows-nt,2008-04-08
microsoft,windows-nt,2008-04-08
microsoft,windows-nt,2008-04-08
microsoft,windows-nt,2008-07-08
microsoft,windows-nt,2008-04-21
microsoft,windows-nt,2008-06-12
microsoft,windows-nt,2008-06-12
microsoft,windows-nt,2008-06-12
microsoft,windows-nt,2008-06-12
microsoft,windows-nt,2008-06-12
microsoft,windows-nt,2008-06-12
microsoft,windows-nt,2008-06-12
microsoft,windows-nt,2008-06-12
microsoft,windows-nt,2008-06-12
microsoft,windows-nt,2008-08-13
microsoft,windows-nt,2008-08-13
microsoft,windows-nt,2008-08-13
microsoft,windows-nt,2008-08-13
microsoft,windows-nt,2008-08-13
microsoft,windows-nt,2008-08-13
microsoft,windows-nt,2008-08-13
microsoft,windows-nt,2008-08-13
microsoft,windows-nt,2008-09-11
microsoft,windows-nt,2008-09-11
microsoft,windows-nt,2008-09-11
microsoft,windows-nt,2008-09-11
microsoft,windows-nt,2008-09-11
microsoft,windows-nt,2008-09-11
microsoft,windows-nt,2008-09-11
microsoft,windows-nt,2010-01-21
