vendor,product,datum
microsoft,windows,2007-04-18
microsoft,windows,2008-09-11
microsoft,windows,2008-04-08
microsoft,windows,2008-06-12
microsoft,windows,2008-09-11
microsoft,windows,2008-11-12
microsoft,windows,2008-11-12
microsoft,windows,2008-11-12
microsoft,windows,2008-11-12
microsoft,windows,2008-11-12
microsoft,windows,2008-11-17
microsoft,windows,2008-11-17
microsoft,windows,2008-11-26
microsoft,windows,2008-11-26
microsoft,windows,2009-02-19
microsoft,windows,2009-04-15
microsoft,windows,2009-09-08
microsoft,windows,2009-11-05
microsoft,windows,2010-08-27
microsoft,windows,2010-08-27
microsoft,windows,2010-10-08
microsoft,windows,2010-10-08
microsoft,windows,2011-01-25
microsoft,windows,2011-10-20
microsoft,windows,2011-09-06
microsoft,windows,2013-02-23
microsoft,windows,2015-01-28
microsoft,windows,2015-02-06
microsoft,windows,2015-02-06
microsoft,windows,2015-02-06
microsoft,windows,2015-02-06
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-05-13
microsoft,windows,2015-10-21
microsoft,windows,2015-10-21
microsoft,windows,2016-01-12
microsoft,windows,2016-06-16
microsoft,windows,2016-05-05
microsoft,windows,2016-07-12
