vendor,product,datum
microsoft,windows_2000_terminal_services,2001-07-16
microsoft,windows_2000_terminal_services,2002-07-26
microsoft,windows_2000_terminal_services,2002-10-10
microsoft,windows_2000_terminal_services,2002-10-10
microsoft,windows_2000_terminal_services,2002-09-05
microsoft,windows_2000_terminal_services,2002-09-05
microsoft,windows_2000_terminal_services,2002-10-04
microsoft,windows_2000_terminal_services,2002-10-11
microsoft,windows_2000_terminal_services,2002-10-11
microsoft,windows_2000_terminal_services,2002-10-28
microsoft,windows_2000_terminal_services,2002-11-04
microsoft,windows_2000_terminal_services,2002-12-23
microsoft,windows_2000_terminal_services,2002-12-23
microsoft,windows_2000_terminal_services,2002-12-23
microsoft,windows_2000_terminal_services,2002-12-23
microsoft,windows_2000_terminal_services,2002-12-23
microsoft,windows_2000_terminal_services,2003-04-02
microsoft,windows_2000_terminal_services,2002-12-31
microsoft,windows_2000_terminal_services,2003-01-17
microsoft,windows_2000_terminal_services,2003-02-07
microsoft,windows_2000_terminal_services,2003-03-24
microsoft,windows_2000_terminal_services,2003-03-31
microsoft,windows_2000_terminal_services,2003-05-05
microsoft,windows_2000_terminal_services,2003-05-12
microsoft,windows_2000_terminal_services,2003-08-18
microsoft,windows_2000_terminal_services,2005-06-14
microsoft,windows_2000_terminal_services,2005-06-14
