vendor,product,datum
microsoft,windows_2003_server,2002-12-31
microsoft,windows_2003_server,2003-08-18
microsoft,windows_2003_server,2003-08-18
microsoft,windows_2003_server,2003-08-18
microsoft,windows_2003_server,2003-08-18
microsoft,windows_2003_server,2003-08-18
microsoft,windows_2003_server,2003-08-07
microsoft,windows_2003_server,2003-08-07
microsoft,windows_2003_server,2003-09-17
microsoft,windows_2003_server,2003-09-17
microsoft,windows_2003_server,2003-09-17
microsoft,windows_2003_server,2003-09-17
microsoft,windows_2003_server,2003-09-17
microsoft,windows_2003_server,2004-06-01
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-10-20
microsoft,windows_2003_server,2003-10-20
microsoft,windows_2003_server,2003-10-20
microsoft,windows_2003_server,2003-10-20
microsoft,windows_2003_server,2003-10-20
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-09-17
microsoft,windows_2003_server,2003-09-17
microsoft,windows_2003_server,2003-09-17
microsoft,windows_2003_server,2003-09-17
microsoft,windows_2003_server,2003-09-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2004-06-01
microsoft,windows_2003_server,2004-06-01
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2004-03-03
microsoft,windows_2003_server,2004-03-03
microsoft,windows_2003_server,2004-03-03
microsoft,windows_2003_server,2004-03-03
microsoft,windows_2003_server,2004-03-03
microsoft,windows_2003_server,2004-03-03
microsoft,windows_2003_server,2004-03-03
microsoft,windows_2003_server,2004-03-03
microsoft,windows_2003_server,2004-03-03
microsoft,windows_2003_server,2004-03-03
microsoft,windows_2003_server,2004-03-03
microsoft,windows_2003_server,2003-11-17
microsoft,windows_2003_server,2004-01-20
microsoft,windows_2003_server,2004-01-20
microsoft,windows_2003_server,2004-01-20
microsoft,windows_2003_server,2004-01-20
microsoft,windows_2003_server,2004-01-20
microsoft,windows_2003_server,2004-06-01
microsoft,windows_2003_server,2004-06-01
microsoft,windows_2003_server,2004-06-01
microsoft,windows_2003_server,2004-06-01
microsoft,windows_2003_server,2004-06-01
microsoft,windows_2003_server,2004-06-01
microsoft,windows_2003_server,2004-06-01
microsoft,windows_2003_server,2004-06-14
microsoft,windows_2003_server,2004-06-14
microsoft,windows_2003_server,2004-06-14
microsoft,windows_2003_server,2004-06-14
microsoft,windows_2003_server,2004-06-14
microsoft,windows_2003_server,2004-09-28
microsoft,windows_2003_server,2004-08-06
microsoft,windows_2003_server,2004-08-06
microsoft,windows_2003_server,2004-08-06
microsoft,windows_2003_server,2004-08-06
microsoft,windows_2003_server,2004-08-06
microsoft,windows_2003_server,2004-08-06
microsoft,windows_2003_server,2004-08-06
microsoft,windows_2003_server,2004-08-06
microsoft,windows_2003_server,2004-08-06
microsoft,windows_2003_server,2004-08-06
microsoft,windows_2003_server,2004-11-03
microsoft,windows_2003_server,2004-11-03
microsoft,windows_2003_server,2004-11-03
microsoft,windows_2003_server,2004-11-03
microsoft,windows_2003_server,2004-11-03
microsoft,windows_2003_server,2004-12-31
microsoft,windows_2003_server,2004-12-31
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2004-11-03
microsoft,windows_2003_server,2004-11-03
microsoft,windows_2003_server,2004-11-03
microsoft,windows_2003_server,2005-04-12
microsoft,windows_2003_server,2004-08-18
microsoft,windows_2003_server,2004-08-18
microsoft,windows_2003_server,2004-08-18
microsoft,windows_2003_server,2004-08-18
microsoft,windows_2003_server,2004-08-18
microsoft,windows_2003_server,2004-11-03
microsoft,windows_2003_server,2004-11-03
microsoft,windows_2003_server,2005-01-27
microsoft,windows_2003_server,2005-01-27
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-11
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2004-12-31
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2005-01-10
microsoft,windows_2003_server,2004-12-23
microsoft,windows_2003_server,2004-12-23
microsoft,windows_2003_server,2004-12-23
microsoft,windows_2003_server,2004-12-23
microsoft,windows_2003_server,2004-12-23
microsoft,windows_2003_server,2004-12-31
microsoft,windows_2003_server,2004-12-31
microsoft,windows_2003_server,2004-12-31
microsoft,windows_2003_server,2004-12-31
microsoft,windows_2003_server,2004-12-31
microsoft,windows_2003_server,2004-12-31
microsoft,windows_2003_server,2004-12-15
microsoft,windows_2003_server,2004-12-15
microsoft,windows_2003_server,2004-12-15
