vendor,product,datum
microsoft,windows_8.1,2013-11-13
microsoft,windows_8.1,2013-11-18
microsoft,windows_8.1,2013-12-11
microsoft,windows_8.1,2013-11-12
microsoft,windows_8.1,2013-11-13
microsoft,windows_8.1,2013-12-11
microsoft,windows_8.1,2013-12-11
microsoft,windows_8.1,2014-02-26
microsoft,windows_8.1,2014-02-26
microsoft,windows_8.1,2015-01-13
microsoft,windows_8.1,2015-01-13
microsoft,windows_8.1,2015-02-11
microsoft,windows_8.1,2015-01-13
microsoft,windows_8.1,2015-01-13
microsoft,windows_8.1,2015-02-11
microsoft,windows_8.1,2015-02-11
microsoft,windows_8.1,2015-02-11
microsoft,windows_8.1,2015-01-13
microsoft,windows_8.1,2015-01-13
microsoft,windows_8.1,2015-01-13
microsoft,windows_8.1,2015-02-11
microsoft,windows_8.1,2015-02-11
microsoft,windows_8.1,2015-02-11
microsoft,windows_8.1,2015-02-11
microsoft,windows_8.1,2015-02-11
microsoft,windows_8.1,2015-02-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-03-11
microsoft,windows_8.1,2015-04-14
microsoft,windows_8.1,2015-03-06
microsoft,windows_8.1,2015-04-14
microsoft,windows_8.1,2015-04-14
microsoft,windows_8.1,2015-04-14
microsoft,windows_8.1,2015-05-13
microsoft,windows_8.1,2015-05-13
microsoft,windows_8.1,2015-05-13
microsoft,windows_8.1,2015-05-13
microsoft,windows_8.1,2015-05-13
microsoft,windows_8.1,2015-05-13
microsoft,windows_8.1,2015-05-13
microsoft,windows_8.1,2015-05-13
microsoft,windows_8.1,2015-05-13
microsoft,windows_8.1,2015-05-13
microsoft,windows_8.1,2015-05-13
microsoft,windows_8.1,2015-05-13
microsoft,windows_8.1,2015-05-13
microsoft,windows_8.1,2015-05-13
microsoft,windows_8.1,2015-05-13
microsoft,windows_8.1,2015-06-10
microsoft,windows_8.1,2015-06-10
microsoft,windows_8.1,2015-06-10
microsoft,windows_8.1,2015-06-10
microsoft,windows_8.1,2015-06-10
microsoft,windows_8.1,2015-06-10
microsoft,windows_8.1,2015-06-10
microsoft,windows_8.1,2015-06-10
microsoft,windows_8.1,2015-06-10
microsoft,windows_8.1,2015-06-10
microsoft,windows_8.1,2015-08-15
microsoft,windows_8.1,2015-06-10
microsoft,windows_8.1,2015-07-14
microsoft,windows_8.1,2015-07-14
microsoft,windows_8.1,2015-07-14
microsoft,windows_8.1,2015-07-14
microsoft,windows_8.1,2015-07-14
microsoft,windows_8.1,2015-07-14
microsoft,windows_8.1,2015-07-14
microsoft,windows_8.1,2015-07-14
microsoft,windows_8.1,2015-07-14
microsoft,windows_8.1,2015-07-14
microsoft,windows_8.1,2015-07-14
microsoft,windows_8.1,2015-07-14
microsoft,windows_8.1,2015-07-14
microsoft,windows_8.1,2015-07-14
microsoft,windows_8.1,2015-07-14
microsoft,windows_8.1,2015-08-15
microsoft,windows_8.1,2015-07-20
microsoft,windows_8.1,2015-08-15
microsoft,windows_8.1,2015-08-15
microsoft,windows_8.1,2015-08-15
microsoft,windows_8.1,2015-08-15
microsoft,windows_8.1,2015-08-15
microsoft,windows_8.1,2015-08-15
microsoft,windows_8.1,2015-08-15
microsoft,windows_8.1,2015-08-15
microsoft,windows_8.1,2015-08-15
