vendor,product,datum
microsoft,windows_95,1997-12-16
microsoft,windows_95,1997-12-01
microsoft,windows_95,1997-12-16
microsoft,windows_95,1997-07-01
microsoft,windows_95,1997-01-01
microsoft,windows_95,1998-02-01
microsoft,windows_95,1998-02-13
microsoft,windows_95,1999-11-29
microsoft,windows_95,1999-04-12
microsoft,windows_95,1997-01-01
microsoft,windows_95,1997-01-01
microsoft,windows_95,2000-06-01
microsoft,windows_95,1999-05-07
microsoft,windows_95,1999-08-16
microsoft,windows_95,1999-08-11
microsoft,windows_95,1999-08-11
microsoft,windows_95,1999-09-20
microsoft,windows_95,1999-09-20
microsoft,windows_95,1999-07-03
microsoft,windows_95,1999-12-10
microsoft,windows_95,1999-12-31
microsoft,windows_95,1999-12-31
microsoft,windows_95,1999-02-06
microsoft,windows_95,1999-03-08
microsoft,windows_95,1998-10-05
microsoft,windows_95,2000-02-04
microsoft,windows_95,2000-02-18
microsoft,windows_95,2000-03-04
microsoft,windows_95,2000-05-19
microsoft,windows_95,1999-11-12
microsoft,windows_95,2000-05-02
microsoft,windows_95,2000-05-25
microsoft,windows_95,2000-06-29
microsoft,windows_95,2000-10-20
microsoft,windows_95,2000-12-19
microsoft,windows_95,2000-12-19
microsoft,windows_95,2000-12-11
microsoft,windows_95,2001-01-09
microsoft,windows_95,2000-08-29
microsoft,windows_95,2001-07-02
microsoft,windows_95,2002-03-08
microsoft,windows_95,2002-12-23
microsoft,windows_95,2002-12-23
microsoft,windows_95,2002-12-23
microsoft,windows_95,2002-12-23
microsoft,windows_95,2002-12-31
microsoft,windows_95,2005-07-27
microsoft,windows_95,2008-10-20
