vendor,product,datum
microsoft,windows_media_player,2000-12-19
microsoft,windows_media_player,2001-01-09
microsoft,windows_media_player,2001-01-09
microsoft,windows_media_player,2001-01-09
microsoft,windows_media_player,2001-01-09
microsoft,windows_media_player,2001-03-12
microsoft,windows_media_player,2001-06-02
microsoft,windows_media_player,2001-06-27
microsoft,windows_media_player,2001-06-27
microsoft,windows_media_player,2001-06-27
microsoft,windows_media_player,2001-06-27
microsoft,windows_media_player,2001-06-27
microsoft,windows_media_player,2001-09-20
microsoft,windows_media_player,2001-09-20
microsoft,windows_media_player,2001-09-20
microsoft,windows_media_player,2001-12-06
microsoft,windows_media_player,2002-06-25
microsoft,windows_media_player,2002-07-03
microsoft,windows_media_player,2002-07-03
microsoft,windows_media_player,2002-07-03
microsoft,windows_media_player,2002-07-03
microsoft,windows_media_player,2002-12-31
microsoft,windows_media_player,2002-12-31
microsoft,windows_media_player,2002-12-31
microsoft,windows_media_player,2002-12-31
microsoft,windows_media_player,2002-12-31
microsoft,windows_media_player,2002-12-31
microsoft,windows_media_player,2003-05-27
microsoft,windows_media_player,2003-05-27
microsoft,windows_media_player,2003-07-24
microsoft,windows_media_player,2003-08-27
microsoft,windows_media_player,2003-08-27
microsoft,windows_media_player,2003-12-31
microsoft,windows_media_player,2003-12-31
microsoft,windows_media_player,2003-12-31
microsoft,windows_media_player,2003-12-31
microsoft,windows_media_player,2004-11-23
microsoft,windows_media_player,2004-02-08
microsoft,windows_media_player,2004-12-18
microsoft,windows_media_player,2004-12-18
microsoft,windows_media_player,2005-05-14
microsoft,windows_media_player,2005-05-14
microsoft,windows_media_player,2005-10-12
microsoft,windows_media_player,2006-02-14
microsoft,windows_media_player,2006-02-14
microsoft,windows_media_player,2006-02-14
microsoft,windows_media_player,2006-06-13
microsoft,windows_media_player,2006-06-13
microsoft,windows_media_player,2006-12-13
microsoft,windows_media_player,2006-11-28
microsoft,windows_media_player,2007-08-14
microsoft,windows_media_player,2007-08-14
microsoft,windows_media_player,2007-08-14
microsoft,windows_media_player,2007-08-14
microsoft,windows_media_player,2007-08-14
microsoft,windows_media_player,2007-08-14
microsoft,windows_media_player,2007-08-14
microsoft,windows_media_player,2007-08-14
microsoft,windows_media_player,2007-08-09
microsoft,windows_media_player,2007-09-26
microsoft,windows_media_player,2007-12-04
microsoft,windows_media_player,2007-12-17
microsoft,windows_media_player,2008-09-11
microsoft,windows_media_player,2008-12-10
microsoft,windows_media_player,2008-12-10
microsoft,windows_media_player,2008-11-04
microsoft,windows_media_player,2008-11-04
microsoft,windows_media_player,2008-11-04
microsoft,windows_media_player,2008-12-29
microsoft,windows_media_player,2008-12-29
microsoft,windows_media_player,2008-12-29
microsoft,windows_media_player,2009-10-14
microsoft,windows_media_player,2009-04-17
microsoft,windows_media_player,2009-10-14
microsoft,windows_media_player,2009-10-14
microsoft,windows_media_player,2009-12-13
microsoft,windows_media_player,2010-04-14
microsoft,windows_media_player,2010-02-26
microsoft,windows_media_player,2010-02-26
microsoft,windows_media_player,2010-03-23
microsoft,windows_media_player,2010-03-23
microsoft,windows_media_player,2010-03-23
microsoft,windows_media_player,2010-10-13
microsoft,windows_media_player,2010-10-13
microsoft,windows_media_player,2010-10-13
microsoft,windows_media_player,2010-10-13
microsoft,windows_media_player,2010-08-27
microsoft,windows_media_player,2013-07-10
microsoft,windows_media_player,2013-07-10
microsoft,windows_media_player,2015-06-10
microsoft,windows_media_player,2015-06-10
microsoft,windows_media_player,2015-06-10
microsoft,windows_media_player,2015-06-10
microsoft,windows_media_player,2015-06-10
microsoft,windows_media_player,2015-06-10
microsoft,windows_media_player,2015-06-10
microsoft,windows_media_player,2015-06-10
microsoft,windows_media_player,2015-06-10
microsoft,windows_media_player,2015-06-10
