vendor,product,datum
microsoft,windows_nt,1997-12-16
microsoft,windows_nt,1997-12-16
microsoft,windows_nt,1997-12-01
microsoft,windows_nt,1997-07-01
microsoft,windows_nt,1995-01-01
microsoft,windows_nt,1997-12-16
microsoft,windows_nt,1999-01-19
microsoft,windows_nt,1999-06-30
microsoft,windows_nt,1997-07-01
microsoft,windows_nt,1997-01-01
microsoft,windows_nt,1999-07-23
microsoft,windows_nt,1998-02-14
microsoft,windows_nt,1999-01-01
microsoft,windows_nt,1997-06-01
microsoft,windows_nt,1997-02-07
microsoft,windows_nt,1997-01-01
microsoft,windows_nt,1998-02-01
microsoft,windows_nt,1998-02-13
microsoft,windows_nt,1997-01-01
microsoft,windows_nt,1997-06-10
microsoft,windows_nt,1998-06-01
microsoft,windows_nt,1999-01-01
microsoft,windows_nt,1998-08-01
microsoft,windows_nt,1997-04-01
microsoft,windows_nt,1998-08-01
microsoft,windows_nt,1998-08-01
microsoft,windows_nt,1999-02-08
microsoft,windows_nt,1999-02-12
microsoft,windows_nt,1999-02-20
microsoft,windows_nt,1999-02-20
microsoft,windows_nt,1999-03-12
microsoft,windows_nt,1999-03-12
microsoft,windows_nt,1999-01-01
microsoft,windows_nt,1999-01-05
microsoft,windows_nt,1999-01-05
microsoft,windows_nt,1999-04-12
microsoft,windows_nt,1999-05-17
microsoft,windows_nt,1997-01-01
microsoft,windows_nt,1997-01-01
microsoft,windows_nt,1997-01-01
microsoft,windows_nt,1997-01-01
microsoft,windows_nt,1998-10-01
microsoft,windows_nt,1998-10-01
microsoft,windows_nt,1997-01-01
microsoft,windows_nt,1997-01-01
microsoft,windows_nt,1997-01-01
microsoft,windows_nt,1997-01-01
microsoft,windows_nt,1998-10-01
microsoft,windows_nt,1999-01-01
microsoft,windows_nt,1999-01-01
microsoft,windows_nt,1997-01-01
microsoft,windows_nt,1999-01-01
microsoft,windows_nt,1997-01-01
microsoft,windows_nt,1997-01-01
microsoft,windows_nt,1997-01-01
microsoft,windows_nt,1999-01-01
microsoft,windows_nt,1999-01-01
microsoft,windows_nt,1999-01-01
microsoft,windows_nt,1999-01-01
microsoft,windows_nt,1997-01-01
microsoft,windows_nt,2000-07-01
microsoft,windows_nt,2000-07-01
microsoft,windows_nt,2000-06-01
microsoft,windows_nt,2000-06-01
